City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
112,Cardston,CA,80.89,overcast clouds,49.2,-113.3019,Flamingo Motel
113,Pokhara,NP,74.01,overcast clouds,28.2333,83.9833,Butterfly Lodge
114,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,Villa Enata
115,Ribeira Grande,PT,81.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
116,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
117,Sao Filipe,CV,75.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
118,Chuy,UY,60.1,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Port Hedland,AU,57.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
120,Richards Bay,ZA,66.63,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
121,Clyde River,CA,44.83,broken clouds,70.4692,-68.5914,Qamaq Hotel
122,Qui Nhon,VN,84.81,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
123,Alofi,NU,74.57,broken clouds,-19.0595,-169.9187,Taloa Heights
124,Ponta Do Sol,PT,76.12,clear sky,32.6667,-17.1,Hotel do Campo
125,Olafsvik,IS,54.73,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
126,Kurikka,FI,62.1,scattered clouds,62.6167,22.4167,Hotel Kurikka
127,Rio Gallegos,AR,44.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
128,Makakilo City,US,75.52,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
129,Palmer,US,76.48,broken clouds,42.1584,-72.3287,Wedgewood Motel
130,Pisco,PE,66.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
131,Port-Cartier,CA,64.62,overcast clouds,50.0334,-66.8654,Le Q'Artier
132,Leningradskiy,RU,34.66,overcast clouds,69.3833,178.4167,Gostinitsa
133,Semnan,IR,80.49,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
134,Phangnga,TH,81.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
136,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Guesthouse Samotina
137,Trairi,BR,86.65,broken clouds,-3.2778,-39.2689,janelas do mar
138,Oriximina,BR,89.96,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
139,Soyo,AO,75.25,clear sky,-6.1349,12.3689,Hotel Mpampa
141,Russell,US,84.9,broken clouds,32.3502,-85.1999,Macs
142,Petropavlovsk-Kamchatskiy,RU,43.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
143,Nome,US,62.17,few clouds,64.5011,-165.4064,Dredge 7 Inn
144,East London,ZA,67.28,clear sky,-33.0153,27.9116,Tu Casa
145,Lavrentiya,RU,47.25,overcast clouds,65.5833,-171.0,
146,Jesup,US,82.51,overcast clouds,31.6074,-81.8854,Western Motel
147,Saskylakh,RU,53.26,broken clouds,71.9167,114.0833,
148,Airai,TL,56.75,scattered clouds,-8.9266,125.4092,Juvinal Martin
