City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Description
221,Salalah,17.0151,54.0924,78.89,89,90,6.91,OM,light intensity drizzle
222,Vaitape,-16.5167,-151.75,78.55,76,47,10.02,PF,scattered clouds
223,Yumen,40.2833,97.2,75.52,14,69,5.7,CN,broken clouds
224,Larreynaga,12.6769,-86.5719,87.6,43,100,2.84,NI,overcast clouds
225,Guerrero Negro,27.9769,-114.0611,83.82,46,37,1.9,MX,scattered clouds
226,Mokhsogollokh,61.4681,128.9203,55.69,98,100,3.85,RU,overcast clouds
227,Burgeo,47.6167,-57.6152,64.36,82,16,20.96,CA,few clouds
228,Los Llanos De Aridane,28.6585,-17.9182,72.12,83,75,11.5,ES,broken clouds
229,Lebu,-37.6167,-73.65,55.17,77,3,19.19,CL,clear sky
230,Jinsha,32.0898,121.0735,82.0,92,88,8.46,CN,overcast clouds
231,Novosergiyevka,52.0934,53.6528,82.51,28,82,2.53,RU,broken clouds
232,Havoysund,70.9963,24.6622,52.68,78,77,6.06,NO,broken clouds
233,Hellin,38.5106,-1.701,89.38,23,40,15.19,ES,scattered clouds
234,Cidreira,-30.1811,-50.2056,61.23,75,31,8.68,BR,scattered clouds
235,Malanje,-9.5402,16.341,78.06,19,1,2.98,AO,clear sky
236,Kununurra,-15.7667,128.7333,78.78,34,66,8.05,AU,broken clouds
237,Chapais,49.7834,-74.8492,55.18,44,87,11.86,CA,overcast clouds
238,Macduff,57.6701,-2.4969,64.56,80,74,8.32,GB,broken clouds
239,Nouadhibou,20.931,-17.0347,76.98,69,0,17.27,MR,clear sky
240,Spermezeu,47.3,24.15,78.57,46,81,2.71,RO,broken clouds
241,Bilma,18.6853,12.9164,103.37,16,4,9.35,NE,clear sky
242,Hami,42.8,93.45,85.03,12,74,5.35,CN,broken clouds
243,Benguela,-12.5763,13.4055,72.59,76,5,6.06,AO,clear sky
244,Lata,40.1629,-8.3327,83.05,45,94,9.93,PT,overcast clouds
245,Santa Marta,11.2408,-74.199,89.35,73,100,3.24,CO,overcast clouds
246,Hamilton,39.1834,-84.5333,82.0,49,40,3.0,US,scattered clouds
247,Awbari,26.5921,12.7805,103.08,7,2,9.51,LY,clear sky
248,Dudinka,69.4058,86.1778,69.71,50,100,10.16,RU,overcast clouds
249,Yuzhnyy,53.2542,83.6936,68.38,68,0,4.47,RU,light rain
