City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
297,Sande,DE,53.5049,8.0142,64.18,85,59,7.9
298,Camacha,PT,33.0833,-16.3333,77.54,73,40,14.97
299,Bayir,TR,37.2687,28.2167,101.23,14,0,8.7
300,Pokhara,NP,28.2333,83.9833,73.65,93,99,1.77
301,Narsaq,GL,60.9167,-46.05,53.82,80,100,1.77
302,Kumluca,TR,36.3703,30.2869,92.19,33,0,6.91
303,Brazzaville,CG,-4.2658,15.2832,79.16,65,75,5.75
304,Rosario Oeste,BR,-14.8361,-56.4275,91.38,19,4,6.11
305,Vanimo,PG,-2.6741,141.3028,78.62,89,54,6.26
306,Bundaberg,AU,-24.85,152.35,68.22,96,6,1.99
307,Nouakchott,MR,18.0858,-15.9785,84.13,83,100,11.3
308,Manbij,SY,36.5281,37.9549,99.37,29,62,20.15
309,Oneida,US,43.2001,-75.4663,74.19,61,1,7.0
310,Severo-Yeniseyskiy,RU,60.3725,93.0408,51.6,92,68,1.92
311,Soyo,AO,-6.1349,12.3689,78.85,78,3,9.35
312,Ajdabiya,LY,30.7554,20.2263,86.99,52,0,15.61
313,Palauig,PH,15.435,119.9045,81.01,87,100,13.71
314,Logon,PH,11.3303,124.1146,83.37,76,88,15.59
315,Waddan,LY,29.1614,16.139,100.6,9,2,12.55
316,Lazaro Cardenas,MX,17.9583,-102.2,86.5,68,23,1.39
317,Asheville,US,35.6009,-82.554,81.91,61,1,1.01
318,Araouane,ML,18.9048,-3.5265,101.32,25,77,9.46
319,Jiuquan,CN,39.7432,98.5174,71.62,40,3,7.14
320,Wolsztyn,PL,52.1155,16.1171,71.51,35,69,10.83
321,Coquimbo,CL,-29.9533,-71.3436,55.13,82,90,4.61
322,Pombia,IT,45.653,8.6336,80.91,44,40,5.75
323,Namangan,UZ,40.9983,71.6726,81.05,34,100,9.22
324,Touros,BR,-5.1989,-35.4608,83.3,63,47,21.32
325,Gambela,ET,8.25,34.5833,71.85,85,100,3.65
326,Si Sa Ket,TH,14.8333,104.3333,82.0,79,100,12.8
327,Hollins,US,37.3413,-79.9431,81.61,44,20,10.36
328,Rondonopolis,BR,-16.4708,-54.6356,94.6,15,7,1.43
329,Leningradskiy,RU,69.3833,178.4167,32.65,98,100,11.14
330,Urcos,PE,-13.6861,-71.6228,58.89,40,37,8.39
331,Sambava,MG,-14.2667,50.1667,71.85,82,21,10.71
